id,total_days,avail_days,avail_rate
68398,365,259,0.7095890410958904
271733,365,49,0.13424657534246576
272314,365,358,0.9808219178082191
289296,365,182,0.4986301369863014
289298,365,319,0.873972602739726
333362,365,326,0.8931506849315068
646629,365,99,0.27123287671232876
718493,365,228,0.6246575342465753
761561,365,132,0.36164383561643837
869581,365,364,0.9972602739726028
963051,365,241,0.6602739726027397
983054,365,364,0.9972602739726028
1015037,365,321,0.8794520547945206
1037747,365,363,0.9945205479452055
1072856,365,118,0.3232876712328767
1072857,365,131,0.3589041095890411
1094125,365,73,0.2
1097851,365,333,0.9123287671232877
1120179,365,65,0.1780821917808219
1126278,365,363,0.9945205479452055
1139869,365,182,0.4986301369863014
1259320,365,133,0.3643835616438356
1297987,365,239,0.6547945205479452
1599241,365,364,0.9972602739726028
1618365,365,322,0.8821917808219178
1631691,365,326,0.8931506849315068
1664910,365,302,0.8273972602739726
1671130,365,299,0.8191780821917808
1689077,365,320,0.8767123287671232
1701140,365,150,0.410958904109589
1718240,365,193,0.5287671232876713
1804621,365,270,0.7397260273972602
1805413,365,331,0.9068493150684932
1805783,365,124,0.33972602739726027
1808483,365,306,0.8383561643835616
1828204,365,333,0.9123287671232877
1828230,365,332,0.9095890410958904
1838199,365,241,0.6602739726027397
1838528,365,0,0.0
1849010,365,365,1.0
1884880,365,332,0.9095890410958904
1911361,365,358,0.9808219178082191
1933639,365,61,0.16712328767123288
1938837,365,167,0.4575342465753425
1980573,365,208,0.5698630136986301
2075962,365,173,0.473972602739726
2084454,365,364,0.9972602739726028
2114695,365,365,1.0
2263430,365,180,0.4931506849315068
2365294,365,0,0.0
2429479,365,365,1.0
2498582,365,318,0.8712328767123287
2498747,365,266,0.7287671232876712
2498893,365,365,1.0
2553760,365,218,0.5972602739726027
2632210,365,20,0.0547945205479452
2637590,365,124,0.33972602739726027
2678719,365,148,0.4054794520547945
2753686,365,224,0.6136986301369863
2808875,365,276,0.7561643835616438
2969214,365,365,1.0
3028074,365,271,0.7424657534246575
3062366,365,205,0.5616438356164384
